longitude,latitude,elevation,slope_deg,aspect_sin,aspect_cos,curvature,relief_amplitude,roughness,plan_curvature,profile_curvature
92.74999999999973,25.450000000000056,544.0773315429688,11.650017852005096,0.9648524174154262,-0.26279233742179064,0.006062919900854403,36.92486572265625,10.608291641381854,0.004537515545521221,-0.011806505581799902
92.79999999999973,25.450000000000056,549.910400390625,14.521092018342213,0.7481440017829459,0.6635363988480205,0.009728130704849155,36.9151611328125,9.550887992398444,0.006811943797421839,-0.0034486856259541357
92.84999999999972,25.450000000000056,321.7516784667969,23.50575593814293,0.94695440493656,0.3213679432850227,0.006242980935987608,56.11541748046875,16.1480550497743,0.0030904889220472955,-0.0030553790955597892
92.89999999999972,25.450000000000056,446.9669189453125,28.113760277426042,0.9956663529911721,-0.0929973844861162,0.01303812534634618,77.3167724609375,22.069613431224482,0.003586286714929705,-0.019287466545608117
92.94999999999972,25.450000000000056,369.1858215332031,20.770298878154833,-0.9998734521355852,-0.01590847932606059,-0.0009763822961369143,42.988616943359375,10.91261536295572,0.013828633589173165,0.007260725426231143
92.99999999999972,25.450000000000056,0.0,,,,,,,,
93.04999999999971,25.450000000000056,206.05577087402344,0.6231310415214962,0.9749606410727509,-0.22237749067522664,-0.018338354339451763,19.69525146484375,5.089133488866513,-0.016482589377932306,0.009961225441339962
93.09999999999971,25.450000000000056,260.62567138671875,27.306548486619473,0.925797664457364,-0.3780194234233077,0.006909295641121203,48.58958435058594,14.202391690718176,-0.0036463980303726865,-0.01476715822378912
93.14999999999971,25.450000000000056,186.25205993652344,1.987102163035979,-0.03682137349585703,0.999321863292242,0.011138117037613847,13.814498901367188,4.1816442245850975,0.0031213329880062234,-0.01503634503137399
93.1999999999997,25.450000000000056,335.01824951171875,19.065202573113183,0.8350510539554216,0.5501724614045487,-0.007940389473895828,42.8836669921875,11.939198316699468,0.0006323286081312108,0.008510395562111032
93.2499999999997,25.450000000000056,252.36204528808594,27.157695864245472,0.8659896290567224,0.5000619585273413,0.018789608979029915,82.60520935058594,23.224449274605274,0.011790398550315575,0.0036161305186433934
93.2999999999997,25.450000000000056,290.2266540527344,10.604301230468343,0.4391737807590925,-0.8984021317281947,-0.01185313531987133,36.2235107421875,9.996323889558345,-0.01718116234977973,0.0007251448336258151
93.3499999999997,25.450000000000056,375.1087646484375,14.965845390349536,0.15718899634373137,-0.9875685391042236,0.004380442386590003,29.661407470703125,7.847843999271978,3.610414071088464e-05,-0.012913134226893296
93.3999999999997,25.450000000000056,385.8997802734375,19.007042351014636,-0.9986289379474463,0.052347342759260264,-0.0024607393466703465,24.624603271484375,8.046031509849472,-0.00018058476580559154,0.009942681865784717
93.44999999999969,25.450000000000056,510.2996826171875,14.241447876388618,-0.3955683290217585,-0.918436550380555,0.0005277050356401367,29.2003173828125,7.572220891210835,0.007368621747805356,0.004368860432509392
93.49999999999969,25.450000000000056,730.878662109375,17.95960040881858,-0.8335356252654147,-0.5524657106222921,-0.002891214978344182,48.4866943359375,12.63788937005002,0.002714777182527099,0.010832773982768239
93.54999999999968,25.450000000000056,951.75341796875,24.791332517172712,0.4113635218266917,-0.9114713670271496,-0.014908627108353823,66.14459228515625,18.126196563724935,-0.01585016108361471,0.0059971652030946345
93.59999999999968,25.450000000000056,1073.215087890625,20.596197026746086,-0.9990260119189922,-0.044125134665332216,0.00500928733238887,62.8294677734375,17.404301929508847,0.013546935097348825,0.004720447917586079
93.64999999999968,25.450000000000056,1290.780029296875,30.330298639630048,0.14068307857311468,0.9900546810167562,0.02572046572929392,100.1322021484375,26.732192994458504,0.03851501968940595,-0.007338859669913629
93.69999999999968,25.450000000000056,754.2215576171875,30.83729386705314,0.11486636723621932,0.9933809529470323,-0.010970107471564584,74.02691650390625,22.66081063865603,-0.00805580517660857,0.012630024270110996
93.74999999999967,25.450000000000056,1642.4200439453125,7.61892231210592,-0.8723875096176937,0.4888149272097143,0.0072267576438338425,71.73681640625,17.39942608461904,-0.01673932231521927,-0.01548034067858105
93.79999999999967,25.450000000000056,735.6836547851562,25.373334450983094,0.6005591804356095,-0.7995803091588168,-0.012554573480624196,53.05194091796875,16.062483676767776,-0.006745546810020272,0.014184751057392359
93.84999999999967,25.450000000000056,1465.3790283203125,32.06149509323517,-0.005536914018350298,-0.9999846711740903,-0.0007519547907477885,101.1671142578125,30.54843195586198,0.005687423442527767,0.0032793314919530676
93.89999999999966,25.450000000000056,2197.580810546875,20.72908134957635,0.15192839252713494,-0.9883915031727665,-0.002754702762172118,43.346435546875,12.532544740999946,-0.005816362680161948,-0.0003950355214470524
93.94999999999966,25.450000000000056,860.839599609375,28.422872081430867,-0.8333202970294432,-0.552790450857068,-0.00014305342653030923,91.7117919921875,23.496564584572983,0.011155825956862401,0.0043302827796935705
93.99999999999966,25.450000000000056,0.0,,,,,,,,
94.04999999999966,25.450000000000056,1361.8250732421875,30.347071809348495,-0.6073442636746279,-0.7944387612532032,0.011719289357921377,77.39990234375,22.471596850609377,0.017577645800717034,-0.000515002956883385
94.09999999999965,25.450000000000056,1356.842529296875,22.904480449791087,0.11876398592675246,0.9929225124080883,-0.009178597934644006,62.6495361328125,16.91946246017843,-0.006384000637730379,0.012287978235355008
94.14999999999965,25.450000000000056,1349.2396240234375,30.50125252279746,0.6607597551723409,-0.7505974593246291,0.000309569890215192,80.086669921875,21.829006132461263,0.0026489883377330977,-0.006821219982264945
94.19999999999965,25.450000000000056,1405.653564453125,14.95087434777708,-0.9690973996486324,-0.2466783938537361,-0.0013061090682712627,51.8416748046875,15.384799711772782,0.007583649535940823,0.003675653289309643
94.24999999999964,25.450000000000056,2117.193115234375,26.429080021681767,0.32348575949378183,-0.9462330386351616,-0.0013745073765824743,76.260986328125,21.126027313412127,-0.0025112132373805683,0.005523387257677328
94.29999999999964,25.450000000000056,2227.412109375,29.797973795727714,-0.8789188793872419,0.47697128158482965,0.0022043878907284827,110.09130859375,28.65664996057776,0.02000333648220042,0.013505799861358884
94.34999999999964,25.450000000000056,1212.563232421875,6.7151752495856645,-0.8354758286868397,-0.5495271964880706,0.008828643180477911,35.3824462890625,9.18163431227223,0.011441098403755607,-0.0027184973942050647
94.39999999999964,25.450000000000056,897.8875122070312,17.996791983518705,-0.9870726823199882,-0.1602732660727407,0.009445365557080249,42.22735595703125,14.456707925656913,0.011247468329757097,-0.0036921003950251
94.44999999999963,25.450000000000056,1145.4287109375,31.66027301488298,0.7636868512663015,-0.6455868595339916,-0.0016236421710964918,96.07275390625,25.4807394684161,-0.001698655687134375,0.004652511908283505
94.49999999999963,25.450000000000056,1175.2113037109375,21.36260866916889,0.9997264501913957,-0.02338856104404014,0.012053459887092575,62.7064208984375,16.2382821279871,0.005837716185281121,-0.015058069605723477
94.54999999999963,25.450000000000056,1384.62158203125,14.94770837798823,-0.7096189210612244,-0.7045856845493695,-0.009314114749239816,42.9498291015625,11.022377900137112,-0.008047347096301482,0.006162740342212308
94.59999999999962,25.450000000000056,1487.8951416015625,28.76145361115593,-0.9922678006516856,0.12411531649988489,0.006377395698838279,70.4913330078125,21.755904056981063,0.009558268225082467,0.0009417846664217464
94.64999999999962,25.450000000000056,1700.5450439453125,26.78264474071642,0.5162058186131715,-0.8564645660095376,-0.008905715702525055,85.7894287109375,21.88587751582489,0.0017777543577469053,-0.005018382639249605
94.69999999999962,25.450000000000056,2054.357421875,12.531079383507072,-0.5077583428385674,-0.8614995445604321,-0.003588564882623145,32.7816162109375,8.206843353014662,-0.005574611636038643,0.004580448654982351
94.74999999999962,25.450000000000056,1833.3958740234375,7.169502967497139,-0.020190394045628904,-0.9997961532173857,-0.004204007457198869,31.6458740234375,7.782050538075048,-0.004902936620203903,0.002344599425482867
94.79999999999961,25.450000000000056,2425.005126953125,28.3818145852257,0.69806068190769,0.716038605366059,-0.004014312356809771,71.517822265625,19.939643692082544,-0.008048839620617875,-0.004579288574819694
94.84999999999961,25.450000000000056,1875.9224853515625,38.566696898828624,-0.7901159530571553,-0.6129574053101758,-0.0038591719111392268,143.7513427734375,35.18868774639191,0.0006347170307966237,0.007632726036371623
94.89999999999961,25.450000000000056,1419.0059814453125,25.795024571991163,-0.34342357606541335,-0.9391806255467812,0.0029808011202070994,55.2791748046875,15.28255384728374,0.006444847417196295,-0.0010275371701296556
94.9499999999996,25.450000000000056,1468.8919677734375,49.16663709866024,-0.6633924790031709,-0.7482716210053857,-0.01245944152997929,166.2642822265625,44.79133507362507,-0.008226751591232163,0.009775409338635415
94.9999999999996,25.450000000000056,0.0,,,,,,,,
95.0499999999996,25.450000000000056,816.1234130859375,26.272773653168283,0.46570889310159896,0.884937979118358,-0.00011859498779948102,47.4285888671875,14.025229468244037,-0.009369051724887955,-0.010918691232425597
95.0999999999996,25.450000000000056,587.6158447265625,27.900912147997506,0.5137431428632294,0.8579440443065104,0.004484497401364908,48.48016357421875,13.72547296451396,0.008212588118668101,-0.003938168448260108
95.1499999999996,25.450000000000056,247.447998046875,7.621443990851803,-0.42858066547362833,0.9035035213999898,0.004296508703677961,20.45831298828125,5.084662553517992,0.005470569665634537,-0.006254033672879968
95.19999999999959,25.450000000000056,241.2965850830078,7.161535652263292,-0.2855670379449059,0.9583587359853161,0.010552589835410206,23.0723876953125,6.129411099898075,0.014173569816223232,0.003112981191640117
95.24999999999959,25.450000000000056,222.3741912841797,10.172151466367202,0.9921441839444003,0.1250996333539795,0.009229807790736677,15.098388671875,4.53578596493147,0.0016777485587975483,-0.007545190189100343
95.29999999999959,25.450000000000056,231.9969940185547,13.08567070011353,0.6409169366872375,0.7676102398140918,-0.012441364326353378,30.15087890625,7.4770282755610005,-0.007472055580415844,0.011492696801129602
95.34999999999958,25.450000000000056,216.94227600097656,12.620776235896052,-0.13313025208882434,0.9910985500840802,0.01804952790708459,20.5010986328125,5.276449995411313,0.02098000604926462,0.0029911653625860285
95.39999999999958,25.450000000000056,197.16448974609375,16.383539947605154,-0.9810456024061223,-0.1937770006982474,0.02692084893014442,26.539337158203125,8.770303561239547,0.0014559261949064412,-0.047243946632425364
95.44999999999958,25.450000000000056,205.1025390625,2.289010947715163,-0.8370429178668367,0.5471372347491733,-0.00199569128524981,10.9234619140625,2.2912868686449737,0.003330647718000568,0.0015697399345062193
95.49999999999957,25.450000000000056,188.34423828125,9.397956917088514,-0.14401871755465107,0.9895749638071457,0.01858921331169608,29.43524169921875,6.321827716818984,0.02990474548757435,-0.016358066519567657
95.54999999999957,25.450000000000056,216.07611083984375,13.48213735012689,0.057138957433850945,-0.9983662351779394,-0.02715066226906221,20.817398071289062,6.428795306479363,-0.02761794629509808,0.004001722629834828
95.59999999999957,25.450000000000056,210.06182861328125,1.2626196463258192,-0.44210465537232374,0.8969634740044429,-0.001850540405398107,7.484405517578125,1.798260449788773,0.008493603713663114,0.002170955858098859
95.64999999999957,25.450000000000056,206.4111785888672,3.6445141276663544,-0.963432938408095,-0.26794957210330445,0.0017260796583099824,12.526901245117188,3.476722819068789,-0.0013172197766219526,-0.005400081150121912
95.69999999999956,25.450000000000056,247.70799255371094,8.848949055997252,0.9737202599448385,-0.2277473498703249,-0.022239670842328484,22.998641967773438,6.052359999684658,-0.017586348223406996,0.0041888454597687145
95.74999999999956,25.450000000000056,239.04290771484375,9.369560822935085,0.8971501787472447,0.44172565781691575,-0.021218264399894195,11.697906494140625,3.5848055709016364,-0.006067038574808604,0.017968211525718994
95.79999999999956,25.450000000000056,249.8570098876953,6.488323263154758,0.9898078517839466,-0.14240932745732918,-0.007001050336418103,24.670318603515625,6.754989730436173,-0.006873732338036269,0.019361473526235396
95.84999999999955,25.450000000000056,234.77882385253906,5.141349837027928,0.03341361732785835,0.9994416091883844,-0.008926245860035308,14.54095458984375,3.162428275929065,-0.00899616253320518,0.004779817352435113
95.89999999999955,25.450000000000056,217.95486450195312,11.27339394113384,-0.7455126584716691,0.6664914673561128,-0.0007477954341612959,31.449554443359375,8.18994256294846,-0.00788610116197788,0.014973516330277745
95.94999999999955,25.450000000000056,288.7474670410156,19.924602535603345,0.7880651284732316,0.6155918723346411,-0.010196431596420667,53.16014099121094,14.989675062201899,-0.0010545875037904888,0.01442864097805221
95.99999999999955,25.450000000000056,0.0,,,,,,,,
96.04999999999954,25.450000000000056,229.18093872070312,13.656102596665717,-0.45759150298562973,0.8891625365451203,-0.014967160276043225,29.305572509765625,8.664787571896559,-0.011648350109697444,0.008736219639911055
96.09999999999954,25.450000000000056,314.2430419921875,20.029240282565944,-0.6594806223436573,0.7517215633153158,0.00033185977551203696,62.05902099609375,15.886597639249441,0.002660711040712992,0.003508360731066162
